metric,value
total_reviewers,472
assigned_reviewers,430
total_assignments,1956
avg_load,4.1440677966101696
variance,4.466532605573112
std_load,2.1134172814598426
min_load,0
max_load,9
gini,0.28585231014522894
near_capacity_reviewers,3
at_capacity_reviewers,0
capacity_policy,"junior=6, mid=10, senior=12-15"
